Pronomen,Verben,Translation
infinitiv,sein,to be
ich,bin,am
du,bist,are
er/sie/es,ist,is
wir,sind,are
ihr,seid,are
sie/Sie,sind,are
infinitiv,haben,have
ich,habe,have
du,hast,have
er/sie/es,hat,has
wir,haben,have
ihr,hat,have
sie/Sie,haben,have
infinitiv,werden,become
ich,werde,become
du,wirst,become
er/sie/es,wird,become
wir,werden,become
ihr,werdet,become
sie/Sie,werden,become
infinitiv,denken,think
ich,denke,think
du,denkst,think
er/sie/es,denkt,thinks
wir,denken,think
ihr,denkt,think
sie/Sie,denken,think
infinitiv,essen,eat
ich,esse,eat
du,isst,eat
er/sie/es,isst,eats
wir,essen,eat
ihr,esst,eat
sie/Sie,essen,eat
infinitiv,sagen,say
ich,sage,say
du,sagst,say
er/sie/es,sagt,says
wir,sagen,say
ihr,sagt,say
sie/Sie,sagen,say
infinitiv,geben,give
ich,gebe,give
du,gibst,give
er/sie/es,gibt,gives
wir,geben,give
ihr,gebt,give
sie/Sie,geben,give
infinitiv,kommen,come
ich,komme,come
du,kommst,come
er/sie/es,kommt,comes
wir,kommen,come
ihr,kommt,come
sie/Sie,kommen,come
infinitiv,machen,make
ich,mache,make
du,machst,make
er/sie/es,macht,makes
wir,machen,make
ihr,macht,make
sie/Sie,machen,make
infinitiv,gehen,go
ich,gehe,go
du,gehst,go
er/sie/es,geht,goes
wir,gehen,go
ihr,geht,go
sie/Sie,gehen,go
infinitiv,heißen,call
ich,heiße,call
du,heißt,call
er/sie/es,heißt,calls
wir,heißen,call
ihr,heißt,call
sie/Sie,heißen,call
infinitiv,wissen,know
ich,weiß,know
du,weißt,know
er/sie/es,weiß,knows
wir,wissen,know
ihr,wisst,know
sie/Sie,wissen,know
infinitiv,sehen,see
ich,sehe,see
du,siehst,see
er/sie/es,sieht,sees
wir,sehen,see
ihr,seht,see
sie/Sie,sehen,see
infinitiv,fahren,drive
ich,fahre,dirve
du,fährst,dirve
er/sie/es,fährt,dirves
wir,fahren,dirve
ihr,fahrt,dirve
sie/Sie,fahren,dirve
infinitiv,lernen,learn
ich,lerne,learn
du,lernst,learn
er/sie/es,lernt,learns
wir,lernen,learn
ihr,lernt,learn
sie/Sie,lernen,learn
infinitiv,spielen,play
ich,spiele,play
du,spielst,play
er/sie/es,spielt,plays
wir,spielen,plays
ihr,spielt,plays
sie/Sie,spielen,play
infinitiv,wohnen,live
ich,wohne,live
du,wohnst,live
er/sie/es,wohnt,lives
wir,wohnen,live
ihr,wohnt,live
sie/Sie,wohnen,live
infinitiv,lesen,read
ich,lese,read
du,liest,read
er/sie/es,liest,reads
wir,lesen,read
ihr,lest,read
sie/Sie,lesen,read
infinitiv,sprechen,speak
ich,spreche,speak
du,sprichst,speak
er/sie/es,spricht,speaks
wir,sprechen,speak
ihr,sprecht,speak
sie/Sie,sprechen,speak
infinitiv,lieben,love
ich,liebe,love
du,liebst,love
er/sie/es,liebt,loves
wir,lieben,love
ihr,liebt,love
sie/Sie,lieben,love
infinitiv,bleiben,stay
ich,bleibe,stay
du,bleibst,stay
er/sie/es,bleibt,stays
wir,bleiben,stay
ihr,bleibt,stay
sie/Sie,bleiben,stay
infinitiv,brauchen,need
ich,brauche,need
du,brauchst,need
er/sie/es,braucht,needs
wir,brauchen,need
ihr,braucht,need
sie/Sie,brauchen,need
infinitiv,kaufen,buy
ich,kaufe,buy
du,kaufst,buy
er/sie/es,kauft,buys
wir,kaufen,buy
ihr,kauft,buy
sie/Sie,kaufen,buy
infinitiv,bekommen,get
ich,bekomme,get
du,bekommst,get
er/sie/es,bekommt,gets
wir,bekommen,get
ihr,bekommt,get
sie/Sie,bekommen,get
infinitiv,arbeiten,work
ich,arbeite,work
du,arbeitest,work
er/sie/es,arbeitet,works
wir,arbeiten,work
ihr,arbeitet,work
sie/Sie,arbeiten,work
infinitiv,fragen,ask
ich,frage,ask
du,fragst,ask
er/sie/es,fragt,asks
wir,fragen,ask
ihr,fragt,ask
sie/Sie,fragen,ask
infinitiv,bringen,bring
ich,bringe,bring
du,bringst,bring
er/sie/es,bringt,brings
wir,bringen,bring
