Pronomen,Verben,Translation
infinitiv,entfernen,delete
ich,entferne,delete
du,entfernst,delete
er/sie/es,entfernt,deletes
wir,entfernen,delete
ihr,entfernt,delete
sie/Sie,entfernen,delete
infinitiv,lösen,solve
ich,löse,solve
du,löst,solve
er/sie/es,löst,solves
wir,lösen,solve
ihr,löst,solve
sie/Sie,lösen,solve
infinitiv,öffnen,open
ich,öffne,open
du,öffnest,open
er/sie/es,öffnet,opens
wir,öffnen,open
ihr,öffnet,open
sie/Sie,öffnen,open
infinitiv,entdecken,discover
ich,entdecke,discover
du,entdeckst,discover
er/sie/es,entdeckt,discovers
wir,entdecken,discover
ihr,entdeckt,discover
sie/Sie,entdecken,discover
infinitiv,speichern,save
ich,speichere,save
du,speicherst,save
er/sie/es,speichert,saves
wir,speichern,save
ihr,speichert,save
sie/Sie,speichern,save
infinitiv,vermissen,miss
ich,vermisse,miss
du,vermisst,miss
er/sie/es,vermisst,misses
wir,vermissen,miss
ihr,vermisst,miss
sie/Sie,vermissen,miss
infinitiv,empfehlen,recommend
ich,empfehle,recommend
du,empfiehlst,recommend
er/sie/es,empfiehlt,recommends
wir,empfehlen,recommend
ihr,empfehlt,recommend
sie/Sie,empfehlen,recommend
infinitiv,bevorzugen,prefer
ich,bevorzuge,prefer
du,bevorzugst,prefer
er/sie/es,bevorzugt,prefers
wir,bevorzugen,prefer
ihr,bevorzugt,prefer
sie/Sie,bevorzugen,prefer
infinitiv,sterben,die
ich,sterbe,die
du,stirbst,die
er/sie/es,stirbt,dies
wir,sterben,die
ihr,sterbt,die
sie/Sie,sterben,die
infinitiv,töten,kill
ich,töte,kill
du,tötest,kill
er/sie/es,tötet,kills
wir,töten,kill
ihr,tötet,kill
sie/Sie,töten,kill
infinitiv,verlassen,abandon
ich,verlasse,abandon
du,verlässt,abandon
er/sie/es,verlässt,abandons
wir,verlassen,abandon
ihr,verlasst,abandon
sie,verlassen,abandon
infinitiv,kommunizieren,comunicate
ich,kommuniziere,comunicate
du,kommunizierst,comunicate
er/sie/es,kommuniziert,comunicates
wir,kommunizieren,comunicate
ihr,kommuniziert,comunicate
sie/Sie,kommunizieren,comunicate
infinitiv,beißen,bite
ich,beiße,bite
du,beißt,bite
er/sie/es,beißt,bites
wir,beißen,bite
ihr,beißt,bite
sie/Sie,beißen,bite
infinitiv,entscheiden,decide
ich,entscheide,decide
du,entscheidest,decide
er/sie/es,entscheidet,decides
wir,entscheiden,decide
ihr,entscheidet,decide
sie/Sie,entscheiden,decide
infinitiv,bekennen,confess
ich,bekenne,confess
du,bekennst,confess
er/sie/es,bekennt,confesses
wir,bekennen,confess
ihr,bekennt,confess
sie/Sie,bekennen,confess
